artist_id,name
spotify:artist:6dYrdRlNZSKaVxYg5IrvCH,The KLF
spotify:artist:0TnOYISbd1XYRBk9myaseg,Pitbull
spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney Spears
spotify:artist:1SQRv42e4PjEYfPhS0Tk9E,The Kinks
spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
spotify:artist:08GQAI4eElDnROBrJRGE0X,Fleetwood Mac
spotify:artist:5CiGnKThu5ctn9pBxv7DGa,benny blanco
spotify:artist:26VFTg2z8YR0cCuwLzESi2,Halsey
spotify:artist:6LuN9FCkKOj5PcnpouEgny,Khalid
spotify:artist:3PhoLpVuITZKcymswpck5b,Elton John
spotify:artist:6IRouO5mvvfcyxtPDKMYFN,Foreigner
spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes
spotify:artist:3CQIn7N5CuRDP8wEI7FiDA,Run–D.M.C.
spotify:artist:5w0ka9nPOmEH6CcZrutyP2,Jason Nevins
spotify:artist:2RTUTCvo6onsAnheUk3aL9,3 Doors Down
spotify:artist:320EPCSEezHt1rtbfwH6Ck,The Monkees
spotify:artist:3sFhA6G1N0gG1pszb6kk1m,Wings
spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
spotify:artist:2rmQ5EEAIkloNGWdGlvCYM,Pussycat
spotify:artist:2C0Cu6wbLYQyXl8MDwH2JE,Nathaniel
spotify:artist:4Z1spMbjudmqwjyBPleP7s,Buzz Clifford
spotify:artist:7Jbs4wPCLaKXPxrTxZ2zaa,Tina Charles
spotify:artist:0SCbttzoZTnLFebDYmAWCm,Glee Cast
spotify:artist:4njFVSUWyxD84ur7w8Oy7h,Gwyneth Paltrow
spotify:artist:5BEYGWk6aPdNXxBx9pwU8S,The Soup Dragons
spotify:artist:0qPUDOVD0aYR2lmCilnscs,Junior Reid
spotify:artist:2wY79sveU1sp5g7SokKOiI,Sam Smith
spotify:artist:15jHZ1EZwmm2QDjKctvqJQ,Suzi Quatro
spotify:artist:3WGpXCj9YhhfX11TToZcXP,Troye Sivan
spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo,KC & The Sunshine Band
spotify:artist:6we2CCxymhh4v30lZRhhpa,Hey Monday
spotify:artist:1KCSPY1glIKqW2TotWuXOR,P!nk
spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
spotify:artist:49Jb7NSMLFMM3n8M7BNRxN,Marty Wilde
spotify:artist:4cPHsZM98sKzmV26wlwD2W,Brenda Lee
spotify:artist:5EkpFNNGJTnndTQLzqTFut,Deni Hines
spotify:artist:3dBVyJ7JuOMt4GE9607Qin,T. Rex
spotify:artist:7xkAwz0bQTGDSbkofyQt3U,Belinda Carlisle
spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp
spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus
spotify:artist:2WX2uTcsvV5OnS0inACecP,Birdy
spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,Zedd
spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM,Hayley Williams
spotify:artist:0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers
spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,Queen
spotify:artist:1ZpVSSw9S84o1nUHdlie49,Warumpi Band
spotify:artist:2JyWXPbkqI5ZJa3gwqVa0c,Craig David
spotify:artist:5MJAppfS5mnKHGtfQIjJI4,Monte Video
spotify:artist:23IZADrJHPStZ6aMxJVq3s,Jarryd James
spotify:artist:4gZRt9wlRx1IsxT9glJdrc,Julia Stone
spotify:artist:0iTkPxRldzi5lmS6qZ70JV,C.W. McCall
spotify:artist:5670CyWrIOA7702gNjsGMZ,Manfred Mann
spotify:artist:6Q192DXotxtaysaqNPy5yR,Amy Winehouse
spotify:artist:6mU8ucezzms5I2kNH6HNlu,Conor Maynard
spotify:artist:21E3waRsmPlU7jZsS13rcj,Ne-Yo
spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,Timbaland
spotify:artist:2AsusXITU8P25dlRNhcAbG,Gotye
spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti,Kimbra
spotify:artist:08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens
spotify:artist:1pJEZXU2hJApJW3rM7LmMu,The Easybeats
spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder
spotify:artist:6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark
spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem
spotify:artist:7rZNSLWMjTbwdLNskFbzFf,Sugababes
spotify:artist:7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr
spotify:artist:5AsWcQXw4RJFRWBbwa0ti0,Zayion McCall
spotify:artist:1HY2Jd0NmPuamShAr6KMms,Lady Gaga
spotify:artist:4AYkFtEBnNnGuoo8HaHErd,Madness
spotify:artist:2Mhi3jfuRSdbVZPdjqsnnN,Dr. Hook
spotify:artist:25q0j1r1m5UM8GwFPLcopw,Joe Jones
spotify:artist:2iEvnFsWxR0Syqu2JNopAd,Smash Mouth
spotify:artist:1fTCSmuwhEaa6J6Hjq8xmi,Jordie Ireland
spotify:artist:28w7CgAcq1WLbkQfz795SN,Ava Hayz
spotify:artist:5Jj4mqGYiplyowPLKkJLHt,Tom Cochrane
spotify:artist:6M2wZ9GZgrQXHCFfjv46we,Dua Lipa
spotify:artist:5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys
spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
spotify:artist:3Isy6kedDrgPYoTS1dazA9,Sean Paul
spotify:artist:0jnsk9HBra6NMjO2oANoPY,Flo Rida
spotify:artist:0z4gvV4rjIZ9wHck67ucSV,Akon
spotify:artist:6uATIQFyydDXPc2RlLzcUE,Kasey Chambers
spotify:artist:5DgjOwTN6o76J5Gf8MzEoL,P.M. Dawn
spotify:artist:1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia
spotify:artist:2auikkNYqigWStoHWK1Grq,John Martin
spotify:artist:75L9s8KVrhCNtBUkZFnDFW,Vanessa Williams
spotify:artist:2feDdbD5araYcm6JhFHHw7,Labrinth
spotify:artist:7sfgqEdoeBTjd8lQsPT3Cy,Emeli Sandé
spotify:artist:3oDbviiivRWhXwIE8hxkVV,The Beach Boys
spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,Sia
spotify:artist:7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,David Guetta
spotify:artist:39unIFnj3C60Q4FtYdS7fW,Giorgio Tuinfort
spotify:artist:6mr36E8GEO5zhtL71GCrZ5,Frederic Riesterer
spotify:artist:2urZrEdsq72kx0UzfYN8Yv,Spandau Ballet
spotify:artist:2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara
spotify:artist:3whuHq0yGx60atvA2RCVRW,Olly Murs
spotify:artist:7Ls9QwSDJmmP65RnnEJBT8,David Jones
spotify:artist:73a6pNH4YtLNgDbPQwXveo,Kim Wilde
spotify:artist:7o9Nl7K1Al6NNAHX6jn6iG,Travie McCoy
spotify:artist:45dkTj5sMRSjrmBSBeiHym,Tate McRae
spotify:artist:5PjekOABtfU2Kwo0AHVmci,Guy Sebastian
spotify:artist:1uNFoZAHBGtllmzznpCI3s,Justin Bieber
spotify:artist:0c173mlxpT3dSFRgMO8XPh,Big Sean
spotify:artist:2LJxr7Pt3JnP60eLxwbDOu,Mandy Moore
spotify:artist:2VAnyOxzJuSAj7XIuEOT38,AlunaGeorge
spotify:artist:62DmErcU7dqZbJaDqwsqzR,Popcaan
spotify:artist:0EmeFodog0BfCgMzAIvKQp,Shakira
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna
spotify:artist:6kACVPfCOnqzgfEF5ryl0x,Johnny Cash
spotify:artist:0ZnY6mQmgr2yZarjry68td,June Carter Cash
spotify:artist:51K48NCxjB11t9eqUWWoIq,Youth Group
spotify:artist:319yZVtYM9MBGqmSQnMyY6,Carole King
spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars
spotify:artist:4MptlUxSUHf2QAW9JMrv4W,Meco
spotify:artist:1o711LqmNPfr4wUF9KEJIE,Ted Mulry Gang
spotify:artist:4gwpcMTbLWtBUlOijbVpuu,Capital Cities
spotify:artist:7MqnCTCAX6SsIYYdJCQj9B,Pendulum
spotify:artist:3zAhmxuw1F3HmulPuy1RAb,The Connells
spotify:artist:2PSiyldxmJze7xiqbz658m,Spin Doctors
spotify:artist:3X458ddYA2YcVWuVIGGOYe,Toni Braxton
spotify:artist:6XCS9JCn56Q252cMOTbeq6,Dannii Minogue
spotify:artist:79Xp2rRN7wdsaTJgttdX3K,Cody Simpson
spotify:artist:5RNFFojXkPRmlJZIwXeKQC,Bryan Ferry
spotify:artist:4IWBUUAFIplrNtaOHcJPRM,James Arthur
spotify:artist:1dnbud9cuozLQ86MtrDPFr,Stafford Brothers
spotify:artist:55Aa2cqylxrFIXC767Z865,Lil Wayne
spotify:artist:4eAOcbAXIF4BmbN6E1QIlw,Christina Milian
spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey
spotify:artist:23kP8xlQifcAV4nd84iHbW,Trey Lorenz
spotify:artist:3e7awlrlDSwF3iM0WBjGMp,Little Mix
spotify:artist:6bmlMHgSheBauioMgKv2tn,Powfu
spotify:artist:35l9BRT7MXmM8bv2WDQiyB,beabadoobee
spotify:artist:40usJiKvNyNHy3GAcNXSWx,Taylor Henderson
spotify:artist:5i84V8Zk7YqCN6xxb7SWgw,Samantha Jade
spotify:artist:0kEcxP5ezzvP5RcO51TCBD,Nitty
spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,Ja Rule
spotify:artist:5rkVyNGXEgeUqKkB5ccK83,Ashanti
spotify:artist:5a2EaR3hamoenG9rDuVn8j,Prince
spotify:artist:1aX2dmV8XoHYCOQRxjPESG,The Human League
spotify:artist:0st2uLeud3MMdZNfZtISYq,Mark Holden
spotify:artist:78udmCDNaDu5jqfVnBqwia,Melissa Manchester
spotify:artist:3Z02hBLubJxuFJfhacLSDc,Bryan Adams
spotify:artist:1LZEQNv7sE11VDY3SdxQeN,Bee Gees
spotify:artist:3xnfpcM4DC9zeHVuDhYICB,Sandi Thom
spotify:artist:6v8FB84lnmJs434UJf2Mrm,Neil Young
spotify:artist:07W0YfsvHM7Mw7Bq48Mb0A,Murphy Lee
spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,Nelly
spotify:artist:59wfkuBoNyhDMQGCljbUbA,Diddy
spotify:artist:2LKrAJVB1842xPDvx4uuwU,Bros
spotify:artist:137W8MRPWKqSmrBGDBFSop,Wiz Khalifa
spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth
spotify:artist:4KHdmkq99PXA6QEJ2lKpA3,Heavy D & The Boyz
spotify:artist:772SIFJQiXTCfxncTK1UMn,Aaron Hall
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
spotify:artist:4Zwtv7Mc3eHv465GJ6au6n,Billy Thorpe & The Aztecs
spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin
spotify:artist:5hMCIlD2CIuOBcWPHuQXKJ,Betty Boo
spotify:artist:7mEIug7XUlQHikrFxjTWes,Neil Diamond
spotify:artist:4tpUmLEVLCGFr93o8hFFIB,Blondie
spotify:artist:6nzxy2wXs6tLgzEtqOkEi2,Monica
spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters
spotify:artist:3FUY2gzHeIiaesXtOAdB7A,Train
spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,OneRepublic
spotify:artist:0K24Tk5QTxx6tkcCdnY3Od,Frijid Pink
spotify:artist:1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers
spotify:artist:7tqYLHfwfsXiXdFtMIds2K,Fern Kinney
spotify:artist:66akX7UszLtTZqTTdcFvBL,The Bells
spotify:artist:5IpsllxDHVNmiBbIcKOBJZ,Scandal'us
spotify:artist:3gdbcIdNypBsYNu3iiCjtN,The B-52's
spotify:artist:6aZyMrc4doVtZyKNilOmwu,Colbie Caillat
spotify:artist:2wSrZOe6YVo6XoKma22sdY,Dami Im
spotify:artist:4YLtscXsxbVgi031ovDDdh,Chris Stapleton
spotify:artist:2mxe0TnaNL039ysAj51xPQ,R. Kelly
spotify:artist:6rHWAH6F4mr2AViSxMV673,Jessica Mauboy
spotify:artist:3fhOTtm0LBJ3Ojn4hIljLo,Roxy Music
spotify:artist:3aVoqlJOYx31lH1gibGDt3,Babyface
spotify:artist:6I3M904Y9IwgDjrQ9pANiB,Kenny G
spotify:artist:3REpOYo13YkVj1dFzda12A,Shalamar
spotify:artist:1cK2Abwkni7m51wJCSGllN,Ultra Naté
spotify:artist:5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea
spotify:artist:4STHEaNw4mPZ2tzheohgXB,Paul McCartney
spotify:artist:4RddZ3iHvSpGV4dvATac9X,Papa Roach
spotify:artist:6KfBWaX13etjtEZ4d9aTWW,Bobby Lewis
spotify:artist:1VcbchGlIfo3Gylxc3F076,Cold Chisel
spotify:artist:6XpaIBNiVzIetEPCWDvAFP,Whitney Houston
spotify:artist:4Icvbp9RDt5aY2TWDOVDsr,Afroman
spotify:artist:5ozYVtPIVpq3ZMM5Z1BrYm,Dave Mills
spotify:artist:0kjCW6i4ba1M9ou8OhgbV0,JX
spotify:artist:0rpMdBzQXf7aYRnu5fDBJy,Violent Femmes
spotify:artist:69GGBxA162lTqCwzJG5jLp,The Chainsmokers
spotify:artist:2DORQjKJVYZMx9uu82UGtT,Amy Shark
spotify:artist:5VWIuZAPbBdtFHdbDyYeHQ,Evermore
spotify:artist:7GWspDz4ebIKpeZwtYYvKm,Sub Sub
spotify:artist:3jmMMoxWDbP6gIpslNl2MP,Melanie Williams
spotify:artist:02da1vDJ2hWqfK7aJL6SJm,Soul Asylum
spotify:artist:75jU2q0uEWzSIlqRJtedJV,Sarah Blasko
spotify:artist:6rEzedK7cKWjeQWdAYvWVG,Five
spotify:artist:78E5Zx38dgv90Q7VN2AplD,Steve Mac
spotify:artist:7KUri7klyLaIFXLcuuOMCd,Stargate
spotify:artist:6Tg1uyto2LrwltY2TQHia2,Cutfather & Joe
spotify:artist:0iVrCROxeyon7MZUW3MfzT,Montell Jordan
spotify:artist:7y70dch6JuuuNnwlsOQvwW,Nitty Gritty Dirt Band
spotify:artist:7d7AZ3CQC457bFhK0wHpSO,Scott McKenzie
spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift
spotify:artist:4phr5rAgWhcZtWJu8w8lKv,Swing Out Sister
spotify:artist:23fqKkggKUBHNkbKtXEls4,Kygo
spotify:artist:1rw8ZTLnDHd74TWDDukjVi,Conrad Sewell
spotify:artist:4nmrm4zpgJ0RC6aZRSUEjF,Wynter Gordon
spotify:artist:0aIOdrjH5s3hJqxmKoAEUg,Richard O'Brien
spotify:artist:7Akz0poR4eUgNM0ciCWqIs,Patricia Quinn
spotify:artist:5qTjeXw33F5LHCKVzwi8WK,Nell Campbell
spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson
spotify:artist:4qwGe91Bz9K2T8jXTZ815W,Janet Jackson
spotify:artist:1nCht41FuMcmG1FIoyjWCH,Taxiride
spotify:artist:6yrBBtqX2gKCHCrZOYBDrB,Peter\
spotify:artist:04gDigrS5kc9YWfZHwBETP,Maroon 5
spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons
spotify:artist:7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter
spotify:artist:1QxaPWG1POM8Ul6WwsHq4y,John Farnham
spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas
spotify:artist:60vX3zLcdKRXvKLITVh5Df,Melanie C
